,file,annotator,2ndannotator,case,ckappa_double,ckappa_double_li,ckappa_double_qua
0,33008_sessie3_taskrobotEngagement,Daen,Lin,visible,-0.012696157858522072,-0.012696157858522072,-0.012696157858522072
1,33010_sessie2_taskrobotEngagement,Daen,Lin,visible,-0.025169377980048813,-0.025169377980048813,-0.025169377980048813
2,33011_sessie2_taskrobotEngagement,Daen,Lin,visible,-0.01916422677668339,-0.01916422677668339,-0.01916422677668339
3,51014_sessie2_taskrobotEngagement,Daen,Ronald,invisible,0.18941969910323864,0.18239304189694638,0.1696015438731313
4,Proefpersoon11009_sessie2,Daen,Ronald,invisible,0.0038055133678749353,-0.0476688335805433,-0.13247987925473903
5,Proefpersoon11012_sessie1,Daen,Ronald,invisible,-0.010823453462992738,-0.010823453462992738,-0.010823453462992738
6,Proefpersoon11029_sessie2,Daen,Ronald,invisible,0.5107471948790843,0.5107471948790843,0.5107471948790843
7,33001_sessie1_taskrobotEngagement,Lin,Daen,visible,0.2219611795244325,0.2219611795244325,0.2219611795244325
8,33002_sessie1_taskrobotEngagement,Lin,Daen,visible,0.5782879435816641,0.5112432249957803,0.40591263909649555
9,33003_sessie1_taskrobotEngagement,Lin,Daen,visible,-0.023470296603000262,-0.023470296603000262,-0.023470296603000262
10,33004_sessie1_taskrobotEngagement,Lin,Daen,visible,-0.014897790919171205,-0.014897790919171205,-0.014897790919171205
11,33005_sessie1_taskrobotEngagement,Lin,Daen,visible,0.2660251990922067,0.2660251990922067,0.2660251990922067
12,33006_sessie1_taskrobotEngagement,Lin,Daen,visible,0.0,0.0,0.0
13,33007_sessie1_taskrobotEngagement,Lin,Daen,visible,-0.07405744628977051,-0.07405744628977051,-0.07405744628977051
14,51015_sessie1_taskrobotEngagement,Ronald,Daen,invisible,-0.017704496788008672,-0.017704496788008672,-0.017704496788008672
15,51016_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.0913463472799827,0.0913463472799827,0.0913463472799827
16,51017_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.005391074221679171,0.00018706802055779015,-0.007798658201946251
17,51019_sessie1_taskrobotEngagement,Ronald,Daen,invisible,-0.1761355699072631,-0.18390669641109914,-0.19591016980098575
18,51020_sessie1_taskrobotEngagement,Ronald,Daen,invisible,-0.04484822503256436,-0.04484822503256436,-0.04484822503256436
19,51021_sessie1_taskrobotEngagement,Ronald,Daen,invisible,-0.07205044809612415,-0.07205044809612415,-0.07205044809612415
20,Proefpersoon22016_Sessie1,Ronald,Lin,visible,-0.05664104544706272,-0.05664104544706272,-0.05664104544706272
