,file,case,ckappa_double_no4,ckappa_manl2cs
0,33008_sessie3_taskrobotEngagement,visible,0.4509626896736469,0.0280006461219943
1,33010_sessie2_taskrobotEngagement,visible,0.7054794520547945,0.4344059136389178
2,33011_sessie2_taskrobotEngagement,visible,0.8960429703946478,0.2747700929113135
3,51014_sessie2_taskrobotEngagement,invisible,0.7589705567511648,0.0355724880546914
4,Proefpersoon11009_sessie2,invisible,0.9168665170743996,0.357864336137299
5,Proefpersoon11012_sessie1,invisible,0.8165623836066054,0.1965857079625945
6,Proefpersoon11029_sessie2,invisible,0.6102798052002314,0.0672326962652299
7,33001_sessie1_taskrobotEngagement,visible,0.8973950817725951,0.3860193749064434
8,33002_sessie1_taskrobotEngagement,visible,0.4268302144223438,0.0782904542871518
9,33003_sessie1_taskrobotEngagement,visible,0.7420783788650269,0.0955394373854154
10,33004_sessie1_taskrobotEngagement,visible,0.8047740658602011,0.2148577149197421
11,33005_sessie1_taskrobotEngagement,visible,0.6605646593444054,-0.0008329269761382
12,33006_sessie1_taskrobotEngagement,visible,0.756769865905951,0.3748307452647947
13,33007_sessie1_taskrobotEngagement,visible,0.6373559145502394,0.3226983545013026
14,51015_sessie1_taskrobotEngagement,invisible,0.5932367100431422,-0.0307234970524123
15,51016_sessie1_taskrobotEngagement,invisible,0.8100286690987187,0.1159227369901481
16,51017_sessie1_taskrobotEngagement,invisible,0.8582379926055919,0.4123246476980168
17,51019_sessie1_taskrobotEngagement,invisible,0.8226390846607128,0.1806808160385677
18,51020_sessie1_taskrobotEngagement,invisible,0.4793594981239937,0.1348207376495401
19,51021_sessie1_taskrobotEngagement,invisible,0.7546636893131029,0.23945587672494
20,Proefpersoon22016_Sessie1,visible,0.5579714395478992,0.0064921151763304
