,file,case,ckappa_manl2cs
3,Proefpersoon22016_Sessie1,visible,0.0064921151763304
15,33001_sessie1_taskrobotEngagement,visible,0.3860193749064434
18,33002_sessie1_taskrobotEngagement,visible,0.0782904542871518
21,33003_sessie1_taskrobotEngagement,visible,0.0955394373854154
24,33004_sessie1_taskrobotEngagement,visible,0.2148577149197421
27,33005_sessie1_taskrobotEngagement,visible,-0.0008329269761382
30,33006_sessie1_taskrobotEngagement,visible,0.3748307452647947
33,33007_sessie1_taskrobotEngagement,visible,0.3226983545013026
38,33008_sessie3_taskrobotEngagement,visible,0.0280006461219943
40,33010_sessie2_taskrobotEngagement,visible,0.4344059136389178
43,33011_sessie2_taskrobotEngagement,visible,0.2747700929113135
16,51014_sessie2_taskrobotEngagement,invisible,0.0355724880546914
18,51015_sessie1_taskrobotEngagement,invisible,-0.0307234970524123
21,51016_sessie1_taskrobotEngagement,invisible,0.1159227369901481
24,51017_sessie1_taskrobotEngagement,invisible,0.4123246476980168
27,51019_sessie1_taskrobotEngagement,invisible,0.1806808160385677
30,51020_sessie1_taskrobotEngagement,invisible,0.1348207376495401
33,51021_sessie1_taskrobotEngagement,invisible,0.23945587672494
37,Proefpersoon11009_sessie2,invisible,0.357864336137299
39,Proefpersoon11012_sessie1,invisible,0.1965857079625945
43,Proefpersoon11029_sessie2,invisible,0.0672326962652299
