,file,annotator,2ndannotator,case,ckappa_double
0,33008_sessie3_taskrobotEngagement,Daen,Lin,visible,0.3815789026843245
1,33010_sessie2_taskrobotEngagement,Daen,Lin,visible,0.6462700596056854
2,33011_sessie2_taskrobotEngagement,Daen,Lin,visible,0.863703248491335
3,51014_sessie2_taskrobotEngagement,Daen,Ronald,invisible,0.7275148695153558
4,Proefpersoon11009_sessie2,Daen,Ronald,invisible,0.7970827513148531
5,Proefpersoon11012_sessie1,Daen,Ronald,invisible,0.7711766561209268
6,Proefpersoon11029_sessie2,Daen,Ronald,invisible,0.5603105970027797
7,33001_sessie1_taskrobotEngagement,Lin,Daen,visible,0.8880689097327968
8,33002_sessie1_taskrobotEngagement,Lin,Daen,visible,0.42230909427084706
9,33003_sessie1_taskrobotEngagement,Lin,Daen,visible,0.6484685703541202
10,33004_sessie1_taskrobotEngagement,Lin,Daen,visible,0.5154737503476263
11,33005_sessie1_taskrobotEngagement,Lin,Daen,visible,0.501915627846943
12,33006_sessie1_taskrobotEngagement,Lin,Daen,visible,0.6849788041294136
13,33007_sessie1_taskrobotEngagement,Lin,Daen,visible,0.4754178182722588
14,51015_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.5920989895751135
15,51016_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.8064899516224879
16,51017_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.8518290975666065
17,51019_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.7913370013888285
18,51020_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.44337904206015366
19,51021_sessie1_taskrobotEngagement,Ronald,Daen,invisible,0.7257768607492068
20,Proefpersoon22016_Sessie1,Ronald,Lin,visible,0.5302716922748745
